Status,Preferred_term,ORPHAcode,Definition,Date
Active,Fumaric aciduria,24,"Fumaric aciduria (FA), an autosomal recessive metabolic disorder, is most often characterized by early onset but non-specific clinical signs: hypotonia, severe psychomotor impairment, convulsions, respiratory distress, feeding difficulties and frequent cerebral malformations, along with a distinctive facies. Some patients present with only moderate intellectual impairment.",2025-06-24 08:04:43
Active,Glutaryl-CoA dehydrogenase deficiency,25,Glutaryl-CoA dehydrogenase (GCDH) deficiency (GDD) is an autosomal recessive neurometabolic disorder clinically characterized by encephalopathic crises resulting in striatal injury and a severe dystonic dyskinetic movement disorder.,2025-06-24 08:04:43
Active,Methylmalonic acidemia with homocystinuria,26,"A rare inborn error of vitamin B12 (cobalamin) metabolism characterized by megaloblastic anemia, lethargy, failure to thrive, developmental delay, intellectual deficit and seizures. There are four complementation classes of cobalamin defects (cblC, cblD, cblF and cblJ) that are responsible for methylmalonic acidemia - homocystinuria (methylmalonic acidemia - homocystinuria cblC, cblD cblF and cblJ).",2025-06-24 08:04:43
Active,Vitamin B12-unresponsive methylmalonic acidemia,27,"Vitamin B12-unresponsive methylmalonic acidemia is an inborn error of vitamin B12 (cobalamin) metabolism characterized by recurrent ketoacidotic crises or transient vomiting, dehydration, hypotonia and intellectual deficit, which does not respond to administration of vitamin B12. There are two types of vitamin B12-unresponsive methylmalonic acidemia: <i>mut0</i> and <i>mut-</i>.",2025-06-24 08:04:43
Active,Vitamin B12-responsive methylmalonic acidemia,28,"An inborn error of vitamin B12 (cobalamin) metabolism characterized by recurrent ketoacidotic comas or transient vomiting, dehydration, hypotonia and intellectual deficit, which responds to vitamin B12. There are three types: <i>cblA, cblB</i> and <i>cblD</i>-variant 2 (<i>cblD</i>v2).",2025-06-24 08:04:43
Active,Mevalonic aciduria,29,"A rare, severe form of mevalonate kinase deficiency (MKD) characterized by dysmorphic features, failure to thrive, psychomotor delay, ocular involvement, hypotonia, progressive ataxia, myopathy, and recurrent inflammatory episodes.",2025-06-24 08:04:43
Active,Hereditary orotic aciduria,30,"A rare genetic disorder of pyrimidine metabolism characterized by early onset of megaloblastic anemia, global developmental delay, and failure to thrive, associated with massive urinary overexcretion of orotic acid (sometimes with orotic acid crystalluria). Patients without megaloblastic anemia, but with additional manifestations such as epilepsy, have also been reported.",2025-06-24 08:04:43
Active,Oxoglutaric aciduria,31,"A rare, genetic, inborn error of metabolism disorder characterized by neonatal-onset of developmental delay, hypotonia, hepatomegaly, lactic acidemia, increased creatine kinase levels, elevated alpha-ketoglutaric acid in urine, and a decreased plasma beta-hydroxybutyrate-to-acetoacetate ratio. Pyruvate dehydrogenase deficiency can be associated, leading to hypoglycemia and neurologic anomalies, including seizures.",2025-06-24 08:04:43
Active,Glutathione synthetase deficiency,32,"A rare disorder characterised by hemolytic anemia, associated with metabolic acidosis and 5-oxoprolinuria in moderate forms, and with progressive neurological symptoms and recurrent bacterial infections in the most severe forms.",2025-06-24 08:04:43
Active,Isovaleric acidemia,33,"A rare, autosomal recessive, organic aciduria that is characterized by variable clinical presentation ranging from acute neonatal onset of metabolic decompensation to later onset of chronic, non-specific manifestations including failure to thrive and/or developmental delay. All patients are prone to intermittent, acute metabolic decompensation. During metabolic episodes, urine analysis demonstrates elevated isovaleric acid derivatives.",2025-06-24 08:04:43
Inactive: Deprecated,Pipecolic acidemia,34,None available,2025-06-24 08:04:43
Active,Propionic acidemia,35,"Propionic acidemia (PA) is an organic aciduria caused by the deficient activity of the propionyl Coenzyme A carboxylase and is characterized by life threatening episodes of metabolic decompensation, neurological dysfunction and that may be complicated by cardiomyopathy.",2025-06-24 08:04:43
Active,Acrocallosal syndrome,36,"A rare polymalformative syndrome characterized by agenesis of corpus callosum (CC), distal anomalies of limbs, minor craniofacial anomalies and intellectual disability.",2025-06-24 08:04:43
Active,Acrodermatitis enteropathica,37,"A rare inherited inborn error of metabolism resulting in a severe zinc deficiency and characterized by acral dermatitis, alopecia, diarrhea and growth failure.",2025-06-24 08:04:43
Active,Acrokeratoelastoidosis of Costa,38,"A rare punctate palmoplantar keratoderma characterized by multiple small, round to oval or rhomboid, yellowish, hyperkeratotic papules and plaques most commonly localized to the palms of the hands and soles of the feet, potentially extending to the dorsum of the hands and feet in severe cases. Histopathological analysis shows hyperkeratosis, epidermal hypertrophy, and fragmentation and rarefaction of elastic fibers. The condition can be sporadic or familial.",2025-06-24 08:04:43
Active,Acromelanosis,39,"A rare pigmentation anomaly of the skin characterized by otherwise asymptomatic hyperpigmentation of the skin over the dorsal side of fingers and toes which may rapidly spread towards proximal regions, like genitals, abdomen, and thighs. It is mostly seen in newborns or during the first years of life.",2025-06-24 08:04:43
Active,"Acromesomelic dysplasia, Maroteaux type",40,"A rare autosomal recessive acromesomelic dysplasia characterized by severe dwarfism (adult height <120 cm), both axial and appendicular involvement (shortening of the middle and distal segments of limbs and vertebral shortening), and with normal facial appearance and intelligence. It is a less severe form than acromesomelic dysplasia, Grebe type and acromesomelic dysplasia, Hunter-Thomson type .",2025-06-24 08:04:43
Active,Dyschromatosis symmetrica hereditaria,41,"A rare genodermatosis characterized by the presence of the mixture of hyperpigmented and hypopigmented macules of approximately 5mm in diameter, principally located on the extremities.",2025-06-24 08:04:43
Active,Medium chain acyl-CoA dehydrogenase deficiency,42,"Medium chain acyl-CoA dehydrogenase (MCAD) deficiency (MCADD) is an inborn error of mitochondrial fatty acid oxidation characterized by a rapidly progressive metabolic crisis, often presenting as hypoketotic hypoglycemia, lethargy, vomiting, seizures and coma, which can be fatal in the absence of emergency medical intervention.",2025-06-24 08:04:43
Active,X-linked adrenoleukodystrophy,43,"A rare progressive peroxisomal disorder characterized by endocrine dysfunction (adrenal failure and sometimes testicular insufficiency), progressive myelopathy, peripheral neuropathy and, variably, progressive leukodystrophy.",2025-06-24 08:04:43
Active,Neonatal adrenoleukodystrophy,44,"A variant of intermediate severity of the PBD-Zellweger syndrome spectrum (PBD-ZSS) characterized by hypotonia, leukodystrophy, and vision and sensorineural hearing deficiencies. Phenotypic overlap is seen between NALD and infantile Refsum disease (IRD).",2025-06-24 08:04:43
Active,Adenosine monophosphate deaminase deficiency,45,"A rare metabolic disorder for which two forms have been described. Lack of activity of the erythrocyte isoform of adenosine monophosphate (AMP) deaminase has been described in subjects with low plasma uric acid levels without obvious clinical relevance and will not be described further. Myoadenylate deaminase deficiency is an inherited disorder of muscular energy metabolism with a lack of AMP deaminase activity in skeletal muscle. It is characterised by exercise-induced muscle pain, cramps and/or early fatigue.",2025-06-24 08:04:43
Active,Adenylosuccinate lyase deficiency,46,"A disorder of purine metabolism characterized by intellectual disability, psychomotor delay and/or regression, seizures, and autistic features.",2025-06-24 08:04:43
Active,X-linked agammaglobulinemia,47,"A clinically variable form of isolated agammaglobulinemia, an inherited immunodeficiency disorder, characterized in affected males by recurrent bacterial infections during infancy.",2025-06-24 08:04:43
Active,Congenital bilateral absence of vas deferens,48,A rare non-syndromic urogenital tract malformation characterized by improper development of the vas deferens leading to male infertility.,2025-06-24 08:04:43
Active,Penile agenesis,49,"Penile agenesis is a rare urogenital tract malformation characterized by complete congenital absence of the phallus. It is usually accompanied by a well-developed scrotum and presence of a skin tag at the anal verge (with or without a urethral meatal opening within it). Often, other genitourinary (e.g. cryptorchidism, renal agenesis and dysplasia, urinary reflux, prostate agenesis) as well as non-genitourinary abnormalities (including skeletal and neural disorders, anal stenosis, imperforate anus, cardiac defects) are associated.",2025-06-24 08:04:43
Active,Aicardi syndrome,50,"A rare neurodevelopmental disorder characterized by the classic triad of agenesis of the corpus callosum (total or partial), central chorioretinal lacunae and infantile spasms that affects almost exclusively females.",2025-06-24 08:04:43
Active,Aicardi-Goutières syndrome,51,"A rare inherited subacute encephalopathy characterized by the variable association of basal ganglia calcification, leukodystrophy, cerebrospinal fluid (CSF) lymphocytosis and evidence of enhanced type I interferon signaling in blood and CSF.",2025-06-24 08:04:43
Active,Alagille syndrome,52,"A rare syndrome variably characterized by chronic cholestasis due to paucity of intrahepatic bile ducts, peripheral pulmonary artery stenosis, vertebrae segmentation anomalies, characteristic facies, posterior embryotoxon/anterior segment abnormalities, pigmentary retinopathy, and dysplastic kidneys.",2025-06-24 08:04:43
Active,Albers-Schönberg osteopetrosis,53,A sclerosing disorder of the skeleton characterized by increased bone density that classically displays the radiographic sign of ''sandwich vertebrae'' (dense bands of sclerosis parallel to the vertebral endplates).,2025-06-24 08:04:43
Active,X-linked recessive ocular albinism,54,"X-linked recessive ocular albinism (XLOA) is a rare disorder characterized by ocular hypopigmentation, foveal hypoplasia, nystagmus, photodysphoria, and reduced visual acuity in males.",2025-06-24 08:04:43
Active,Oculocutaneous albinism,55,"A group of rare genetic hypopigmentation disorders characterized by a generalized reduction in pigmentation of hair, skin and eyes and variable ocular findings including nystagmus, reduced visual acuity and photophobia. Variants include OCA1A (the most severe form), OCA1B, OCA1-minimal pigment (OCA1-MP), OCA1-temperature sensitive (OCA1-TS), OCA2, OCA3, OCA4, OCA5, OCA6, OCA7 and OCA8.",2025-06-24 08:04:43
Active,Alkaptonuria,56,"A rare disorder of phenylalanine and tyrosine metabolism characterized by the accumulation of homogentisic acid (HGA) and its oxidized product, benzoquinone acetic acid (BQA), in various tissues (e.g. cartilage, connective tissue) and body fluids (urine, sweat), causing urine to darken when exposed to air as well as grey-blue coloration of the sclera and ear helix (ochronosis), and a disabling joint disease involving both the axial and peripheral joints (ochronotic arthropathy).",2025-06-24 08:04:43
Active,Glycogen storage disease due to aldolase A deficiency,57,Glycogen storage disease due to aldolase A deficiency is an extremely rare glycogen storage disease characterized by hemolytic anemia with or without myopathy or intellectual deficit. Myopathy can be severe enough to result in fatal rhabdomyolysis in some patients. A family with episodic rhabdomyolysis (triggered by fever) without hemolytic anemia has recently been reported.,2025-06-24 08:04:43
Active,Alexander disease,58,"A rare neurodegenerative disorder of the astrocytes comprised of two clinical forms: Alexander disease (AxD) type I and type II manifesting with various degrees of macrocephaly, spasticity, ataxia and seizures and leading to psychomotor regression and death.",2025-06-24 08:04:43
Active,Allan-Herndon-Dudley syndrome,59,"A rare X-linked syndromic intellectual disability with neuromuscular involvement characterized by a varying degree of neurodevelopmental delay including hypotonia, hypokinesia, dystonia and spasticity, and a wide range of clinical sequelae secondary to chronic peripheral thyrotoxicosis.",2025-06-24 08:04:43
Active,Alpha-1-antitrypsin deficiency,60,"A rare hereditary, metabolic disease characterized by serum levels of alpha-1-antitrypsin (AAT) that are well below the normal range. In the most severe form, the disease can clinically manifest with chronic liver disorders (cirrhosis, fibrosis), respiratory disorders (emphysema, bronchiectasis), and rarely panniculitis or vasculitis.",2025-06-24 08:04:43
Active,Alpha-mannosidosis,61,"An inherited lysosomal storage disorder characterized by immune deficiency, facial and skeletal abnormalities, hearing impairment, and intellectual deficit.",2025-06-24 08:04:43
Active,Alpha-sarcoglycan-related limb-girdle muscular dystrophy R3,62,"A subtype of autosomal recessive limb-girdle muscular dystrophy characterized by childhood onset of progressive proximal weakness of the shoulder and pelvic girdle muscles, resulting in difficulty walking, scapular winging, calf hypertrophy and contractures of the Achilles tendon, which lead to a tiptoe gait pattern. Cardiac and respiratory involvement is rare.",2025-06-24 08:04:43
Active,Alport syndrome,63,"A rare renal disease characterized by glomerular nephropathy with hematuria progressing to end-stage renal disease (ESRD), frequently associated with sensorineural deafness, and occasionally with ocular anomalies.",2025-06-24 08:04:43
Active,Alström syndrome,64,"A rare multisystemic disorder characterized by cone-rod dystrophy, hearing loss, obesity, insulin resistance and hyperinsulinemia, type 2 diabetes mellitus, dilated cardiomyopathy (DCM), and progressive hepatic and renal dysfunction.",2025-06-24 08:04:43
Active,Leber congenital amaurosis,65,"Leber congenital amaurosis (LCA) is a retinal dystrophy defined by blindness and responses to electrophysiological stimulation (Ganzfeld electroretinogram (ERG)) below threshold, associated with severe visual impairment within the first year of life.",2025-06-24 08:04:43
Active,Amoebiasis due to Entamoeba histolytica,67,"A parasitic disease caused by the protozoa, <i>Entamoeba histolytica</i>, mainly occurring in tropical regions after the ingestion of an amoebic cyst, and resulting in clinical manifestations that may range from an asymptomatic state to amoebic colitis (violent abdominal pain, a painful contracted feeling around the anal sphincter, blood and mucus in the stools but without the presence of fever), or amoebic liver abscesses (fever, chills, abdominal pain, weight loss, hepatomegaly) that can be fatal if not immediately treated. Extraintestinal involvement elsewhere (i.e. thoracic, hepatic) is extremely rare.",2025-06-24 08:04:43
Active,Amoebiasis due to free-living amoebae,68,"A rare parasitic disease caused by free-living amoebae belonging to the <i>Acanthamoeba</i>, <i>Naegleria</i> and <i>Balamuthia</i> genera, that are able to survive in an autonomous state in all natural environments and can also parasitize humans. In immunosuppressed individuals <i>Acanthamoeba</i> genus contamination leads to granulomatous amoebic encephalitis (also reported in association with species of the <i>Balamuthia</i> genus) together with other problems including cardiac, cutaneous and pulmonary manifestations, all of which influence the prognosis. In immunocompetent individuals, the <i>Naegleria fowleri</i> species is responsible for primary amoebic meningoencephalitis, the evolution of which is rapidly fatal.",2025-06-24 08:04:43
Active,Amyloidosis,69,A vast group of rare systemic diseases characterized by the presence of insoluble fibrillar protein deposits in tissues. Amyloidoses are classified according to biochemical type of amyloid protein involved.,2025-06-24 08:04:43
Active,Proximal spinal muscular atrophy,70,A group of neuromuscular disorders characterized by progressive muscle weakness resulting from the degeneration and loss of the lower motor neurons in the spinal cord and the brain stem nuclei.,2025-06-24 08:04:43
Active,Chylomicron retention disease,71,"Chylomicron retention disease (CRD) is a type of familial hypocholesterolemia characterized by malnutrition, failure to thrive, growth failure, vitamin E deficiency and hepatic, neurologic and ophthalmologic complications.",2025-06-24 08:04:43
Active,Angelman syndrome,72,A neurogenetic disorder characterized by severe intellectual deficit and distinct facial dysmorphic features.,2025-06-24 08:04:43
Active,Gorham-Stout disease,73,Gorham-Stout disease (GSD) is a rare disease of massive osteolysis associated with proliferation and dilation of lymphatic vessels. GSD may affect any bone in the body and can be monostotic or polyostotic. Symptoms at presentation are dependent upon the location(s) of the disease; the most common symptom is localized pain. The disease may be discovered after a pathological fracture.,2025-06-24 08:04:43
Active,Angiostrongyliasis,74,"A foodborne zoonotic disease, endemic to Southeast Asia and the Pacific Islands, caused by the rat lungworm <i>Angiostrongylus cantonensis</i> and that is acquired by the ingestion of the infective larvae on vegetables or in raw or undercooked snails, slugs, land crabs, freshwater shrimps, frogs and lizards. The main feature is eosinophilic meningitis, with clinical manifestations including fever, headache, malaise, fatigue, vomiting, rhinorrhea, blurred vision, diplopia, cough, stiff neck, enteritis, constipation and paraesthesia due to the movement of the worms from the intestines to the lungs, central nervous system and eyes. In severe cases without treatment, coma and death can occur.",2025-06-24 08:04:43
Active,Strongyloidiasis,76,A parasitosis caused by the intestinal nematode <i>Strongyloides stercoralis</i> (round worm).,2025-06-24 08:04:43
Inactive: Obsolete,OBSOLETE: Aniridia,77,None available,2025-06-24 08:04:43
Active,Ankylostomiasis,78,"A hookworm infection caused primarily by the species <i>Ancylostoma duodenale </i> or <i>Necator americanus</i>, usually acquired through penetration of the skin, (often asymptomatic but that can also manifest with an allergic reaction at the site of skin penetration), followed by the migration of larva through the bloodstream to the lungs (causing asymptomatic pneumonitis, eosinophilia) and finally reaching and colonizing the small intestines where they cause blood extravasation leading to diarrhea, abdominal pain, and when untreated, melena, iron-deficiency anemia and protein malnutrition.",2025-06-24 08:04:43
Active,Congenital alpha2-antiplasmin deficiency,79,"A rare hemorrhagic disorder caused by congenital deficiency of alpha2 antiplasmin, leading to dysregulated fibrinolysis and is characterized by a hemorrhagic tendency presenting from childhood with prolonged bleeding and ecchymoses following minor trauma and spontaneous bleeding episodes (often in unusual locations like diaphysis of long bones).",2025-06-24 08:04:43
Active,Antiphospholipid syndrome,80,"A rare systemic autoimmune disease characterized by hypercoagulability with vascular thrombosis and, in women, pregnancy morbidity (miscarriages, severe pre-eclampsia, placental insufficiency) in the presence of serum antiphospholipid antibodies, such as lupus anticoagulant, anticardiolipin antibodies, and anti-beta2-glycoprotein 1 antibodies.",2025-06-24 08:04:43
Active,Antisynthetase syndrome,81,"A rare idiopathic inflammatory myopathy (IIM) characterized principally by myositis, generally symmetrical arthritis and interstitial lung disease (ILD) in association with serum autoantibodies to aminoacyl-transfer RNA synthetases (anti-ARS). More variable features include arthralgia, Raynaud phenomenon, heliotrophic rash, distal esophageal dysmotility and mechanic's hands.",2025-06-24 08:04:43
Active,Hereditary thrombophilia due to congenital antithrombin deficiency,82,"Hereditary thrombophilia due to congenital antithrombin deficiency is a rare, genetic, hematological disease characterized by decreased levels of antithrombin activity in plasma resulting in impaired inactivation of thrombin and factor Xa. Patients have an increased risk for venous thromboembolism, usually in the deep veins of the arms, legs and pulmonary system and, on occasion, in other venous territories (e.g. cerebral veins or sinus, mesenteric, portal, hepatic, renal and/or retinal veins).",2025-06-24 08:04:43
Active,Antley-Bixler syndrome,83,"A rare syndromic craniosynostosis characterized by craniosynostosis with midface hypoplasia, radiohumeral synostosis, femoral bowing and joint contractures.",2025-06-24 08:04:43
Active,Fanconi anemia,84,"A rare genetic multisystem disorder characterized by progressive pancytopenia with bone marrow failure, variable congenital malformations and predisposition to develop hematological or solid tumors.",2025-06-24 08:04:43
Active,Congenital dyserythropoietic anemia,85,"Congenital dyserythropoietic anemia (CDA) is a heterogenous group of hematological disorders of late erythropoiesis and red cell abnormalities that lead to anemia. Five types of CDA are defined: CDA I, CDA II, CDA III, CDA IV and thrombocytopenia with CDA.",2025-06-24 08:04:43
Active,Familial abdominal aortic aneurysm,86,None available,2025-06-24 08:04:43
Active,Apert syndrome,87,"A frequent form of acrocephalosyndactyly, a group of inherited congenital malformation disorders, characterized by craniosynostosis, midface hypoplasia, and finger and toe anomalies and/or syndactyly.",2025-06-24 08:04:43
Active,Idiopathic aplastic anemia,88,None available,2025-06-24 08:04:43
Active,Argininemia,90,A rare autosomal recessive amino acid metabolism disorder characterized by variable degrees of hyperammonemia leading to progressive loss of developmental milestones and spasticity in the absence of treatment.,2025-06-24 08:04:43
Active,Aromatase deficiency,91,"A rare disorder that disrupts the synthesis of estradiol, resulting in hirsutism of mothers during gestation of an affected child; pseudohermaphroditism and virilization in women; and tall stature, osteoporosis and obesity in men.",2025-06-24 08:04:43
Active,Juvenile idiopathic arthritis,92,"A rare, heterogeneous group of rheumatologic diseases characterized by arthritis which has an onset before 16 years of age, persists for more than 6 weeks, and is of unknown origin.",2025-06-24 08:04:43
Active,Aspartylglucosaminuria,93,"A rare oligosaccharidosis characterized by facial dysmorphism, progressive intellectual disability and psychomotor deterioration due to accumulation of glycoasparagines in tissues and body fluids.",2025-06-24 08:04:43
Active,Astrocytoma,94,A complex group of benign and malignant cerebral tumors arising at any age.,2025-06-24 08:04:43
Active,Friedreich ataxia,95,"Friedreich ataxia (FRDA) is an inherited neurodegenerative disorder classically characterized by progressive gait and limb ataxia, dysarthria, dysphagia, oculomotor dysfunction, loss of deep tendon reflexes, pyramidal tract signs, scoliosis, and in some, cardiomyopathy, diabetes mellitus, visual loss and defective hearing.",2025-06-24 08:04:43
Active,Ataxia with vitamin E deficiency,96,"A neurodegenerative disease belonging to the inherited cerebellar ataxias mainly characterized by progressive spino-cerebellar ataxia, loss of proprioception, areflexia, and is associated with a marked deficiency in vitamin E.",2025-06-24 08:04:43
Active,Familial paroxysmal ataxia,97,"A form of hereditary episodic ataxia (EA) characterized by paroxysmal episodes of ataxia lasting hours, with interictal nystagmus and mildly progressive ataxia.",2025-06-24 08:04:43
Active,Autosomal recessive spastic ataxia of Charlevoix-Saguenay,98,"A rare neurodegenerative disorder characterized by early-onset cerebellar ataxia, a pyramidal syndrome and peripheral neuropathy.",2025-06-24 08:04:43
Active,Autosomal dominant cerebellar ataxia,99,"A clinically and genetically heterogeneous group of neurodegenerative diseases characterized by a slowly progressive ataxia of gait, stance and limbs, dysarthria and/or oculomotor disorder, due to cerebellar degeneration in the absence of coexisting diseases. The degenerative process can be limited to the cerebellum (ADCA type 3) or may additionally involve the retina (ADCA type 2), optic nerve, ponto-medullary systems, basal ganglia, cerebral cortex, spinal tracts or peripheral nerves (ADCA type 1). In ACDA type 4, a cerebellar syndrome is associated with epilepsy.",2025-06-24 08:04:43
Active,Ataxia-telangiectasia,100,"A rare autosomal recessive cerebellar ataxia due to a DNA repair defect characterized by progressive neurological impairment with cerebellar syndrome, oculocutaneous telangiectasia, defects in B and T cell-mediated immunity, and increased susceptibility to malignancies (mainly lymphoid neoplasms). High sensitivity to ionizing radiation limits patient treatments.",2025-06-24 08:04:43
Active,Dentatorubral pallidoluysian atrophy,101,"A rare subtype of autosomal dominant cerebellar ataxia type I characterized by involuntary movements, ataxia, epilepsy, mental disorders, cognitive decline and prominent anticipation.",2025-06-24 08:04:43
Active,Multiple system atrophy,102,"Multiple system atrophy (MSA) is a neurodegenerative disorder characterized by autonomic failure (cardiovascular and/or urinary), parkinsonism, cerebellar impairment and corticospinal signs with a median survival of 6-9 years.",2025-06-24 08:04:43
Inactive: Obsolete,OBSOLETE: Genetic optic atrophy,103,None available,2025-06-24 08:04:43
Active,Leber hereditary optic neuropathy,104,"A rare hereditary optic neuropathy characterized by sudden onset, painless central vision loss, loss of retinal ganglion cells and optic atrophy.",2025-06-24 08:04:43
Active,Atresia of urethra,105,"A rare fetal lower urinary tract obstruction (LUTO) characterized by closure or failure to develop an opening in the urethra and resulting in obstructive uropathy presenting <i>in utero</i> as megacystis, oligohydramnios or anhydramnios, and potter sequence.",2025-06-24 08:04:43
Inactive: Non rare disease in Europe,NON RARE IN EUROPE: Autism,106,None available,2025-06-24 08:04:43
Active,BOR syndrome,107,"A rare otomandibular dysplasia syndrome characterized by branchial arch anomalies (branchial clefts, fistulae, cysts), malformations of the ear associated with hearing impairment (malformations of the auricle with pre-auricular pits, conductive or sensorineural hearing impairment), and renal malformations (urinary tree malformation, renal hypoplasia or agenesis, renal dysplasia, renal cysts).",2025-06-24 08:04:43
Active,Babesiosis,108,Babesiosis is an infectious disease caused by protozoa of the genus <i>Babesia</i> and characterized by a febrile illness and hemolytic anemia but with manifestations ranging from an asymptomatic infection to a fulminating illness that can result in death.,2025-06-24 08:04:43
Active,Bannayan-Riley-Ruvalcaba syndrome,109,"A rare developmental defect during embryogenesis characterized by hamartomatous intestinal polyposis, lipomas, macrocephaly and genital lentiginosis.",2025-06-24 08:04:43
Active,Bardet-Biedl syndrome,110,"A rare genetic multisystem disorder characterized by the variable association of retinal dystrophy, obesity, polydactyly, genitourinary and kidney anomalies, learning disability and hypogonadism, with a wide spectrum of other minor manifestations.",2025-06-24 08:04:43
Active,Barth syndrome,111,"Barth syndrome (BTHS) is an inborn error of phospholipid metabolism characterized by dilated cardiomyopathy (DCM), skeletal myopathy, neutropenia, growth delay and organic aciduria.",2025-06-24 08:04:43
